,delta,D
0.0,-0.075684,0.135796
0.1,-0.088922,0.265796
0.2,-0.14548,0.293056
0.30000000000000004,-0.171451,0.176268
0.4,-0.247067,0.228932
0.5,-0.253259,0.227016
0.6000000000000001,-0.321286,0.259717
0.7000000000000001,-0.300694,0.258835
0.8,-0.371556,0.226429
0.9,-0.366591,0.205354
1.0,-0.351557,0.232366
1.1,-0.39471,0.248285
1.2000000000000002,-0.436332,0.18693
1.3,-0.423389,0.242721
1.4000000000000001,-0.339904,0.242234
1.5,-0.342187,0.222851
1.6,-0.182636,0.199475
1.7000000000000002,-0.068941,0.181781
1.8,0.038738,0.290593
1.9000000000000001,0.122969,0.153599
2.0,0.182463,0.16212
2.1,0.259613,0.243643
2.2,0.299412,0.25735
2.3000000000000003,0.35486,0.233855
2.4000000000000004,0.380405,0.227212
2.5,0.36543,0.26067
2.6,0.30583,0.23404
2.7,0.436332,0.221296
2.8000000000000003,0.436332,0.299033
2.9000000000000004,0.436332,0.214665
3.0,0.405646,0.204609
3.1,0.263424,0.255192
3.2,0.1484,0.203476
3.3000000000000003,0.037304,0.20549
3.4000000000000004,-0.055824,0.196747
3.5,-0.123838,0.214177
3.6,-0.209962,0.217078
3.7,-0.290245,0.214446
3.8000000000000003,-0.275082,0.162254
3.9000000000000004,-0.323441,0.277182
4.0,-0.288598,0.221977
4.1000000000000005,-0.279053,0.231207
4.2,-0.412113,0.290363
4.3,-0.436332,0.298593
4.4,-0.436332,0.220112
4.5,-0.436332,0.240583
4.6000000000000005,-0.377827,0.284587
4.7,-0.30587,0.273307
4.800000000000001,-0.297693,0.219206
4.9,-0.102971,0.647609
5.0,-0.165015,0.35659
5.1000000000000005,-0.17569,0.111511
5.2,-0.121115,0.052332
5.300000000000001,-0.115746,0.052243
5.4,-0.058109,0.541611
5.5,-0.003732,0.244646
5.6000000000000005,0.06098,0.146304
5.7,-0.111945,0.236501
5.800000000000001,-0.085651,0.302279
5.9,-0.166604,0.142439
6.0,-0.092432,0.150242
6.1000000000000005,-0.172496,0.272349
6.2,-0.257309,0.21811
6.300000000000001,-0.325817,0.194968
6.4,-0.242666,0.231491
6.5,-0.274582,0.233178
6.6000000000000005,-0.260904,0.198532
6.7,-0.166882,0.242823
6.800000000000001,-0.170579,0.212018
6.9,-0.096633,0.22061
7.0,0.001047,0.214795
7.1000000000000005,-0.142854,0.20678
7.2,-0.11567,0.303962
7.300000000000001,-0.056424,0.167037
7.4,0.005328,0.190223
7.5,0.044893,0.298888
7.6000000000000005,0.130589,0.256699
7.7,0.227984,0.170553
7.800000000000001,0.13887,0.323092
7.9,0.232184,0.240654
8.0,0.292737,0.245883
8.1,0.312417,0.241087
8.200000000000001,0.376597,0.206811
8.3,0.386898,0.199131
8.4,0.390126,0.199591
8.5,0.359257,0.257356
8.6,0.322398,0.347027
8.700000000000001,0.436332,0.246675
8.8,0.436332,0.232964
8.9,0.407699,0.253075
9.0,0.372409,0.260472
9.1,0.291297,0.249158
9.200000000000001,0.285717,0.076813
9.3,0.162157,0.379317
9.4,0.141303,0.19872
9.5,0.040447,0.092829
9.600000000000001,0.11042,0.21234
9.700000000000001,0.059731,0.199661
9.8,0.060125,0.220616
9.9,0.001228,0.208495
10.0,-0.013541,0.142995
10.100000000000001,-0.083778,0.228232
10.200000000000001,-0.181907,0.25724
10.3,-0.277027,0.212754
10.4,-0.291281,0.183129
10.5,-0.176511,0.209124
10.600000000000001,-0.231331,0.236854
10.700000000000001,-0.303967,0.1917
10.8,-0.263737,0.214454
10.9,-0.280039,0.200107
11.0,-0.384406,0.241389
11.100000000000001,-0.276971,0.310454
11.200000000000001,-0.436332,0.166823
11.3,-0.436332,0.29709
11.4,-0.436332,0.194292
11.5,-0.40916,0.222112
11.600000000000001,-0.400216,0.27791
11.700000000000001,-0.3302,0.232873
11.8,-0.235347,0.278503
11.9,-0.071464,0.204294
12.0,-0.068336,0.294694
12.100000000000001,-0.102804,0.297908
12.200000000000001,-0.132455,0.16679
12.3,-0.114918,0.214567
12.4,-0.029497,0.307089
12.5,0.063714,0.168343
12.600000000000001,-0.033743,0.186719
12.700000000000001,0.059351,0.220024
12.8,0.078274,-0.321682
12.9,-0.022486,0.680037
13.0,-0.00218,0.333937
13.100000000000001,0.06602,0.320638
13.200000000000001,-0.004531,-0.072908
13.3,0.016163,0.317292
13.4,0.010783,0.290457
13.5,0.003462,0.098075
13.600000000000001,-0.037282,0.173261
13.700000000000001,-0.111876,0.178384
13.8,-0.167132,0.217834
13.9,-0.187677,0.216991
14.0,-0.157582,0.23209
14.100000000000001,-0.25902,0.202995
14.200000000000001,-0.216966,0.226922
14.3,-0.29363,0.200468
14.4,-0.287508,0.222324
14.5,-0.235199,0.195204
14.600000000000001,-0.211438,0.234655
14.700000000000001,-0.13833,0.237506
14.8,-0.102522,0.268073
14.9,-0.102092,0.194702
15.0,-0.040668,0.215386
15.100000000000001,-0.054066,0.185839
15.200000000000001,-0.020987,0.375347
15.3,-0.0214,0.081771
15.4,-0.044002,0.105945
15.5,-0.04215,0.1773
15.600000000000001,0.005654,0.244074
15.700000000000001,-0.028744,0.244635
15.8,-0.006944,0.245074
15.9,0.055863,0.152516
16.0,-0.003744,0.039948
16.1,0.024019,0.250484
16.2,0.014592,0.251693
16.3,0.041125,0.248609
16.400000000000002,0.049102,0.104385
16.5,0.039674,0.171337
16.6,0.019943,0.18918
16.7,0.010421,0.243515
16.8,0.020201,0.261277
16.900000000000002,-0.004613,0.233685
17.0,-0.010476,0.109532
17.1,-0.016894,0.252963
17.2,-0.025709,0.11633
17.3,-0.060045,0.256738
17.400000000000002,-0.09688,0.183533
17.5,-0.117083,0.215189
17.6,-0.12272,0.240022
17.7,-0.12729,0.207556
17.8,-0.173723,0.257738
